
n,Merge Sort,Quicksort,Randomized Quicksort,Insertion Sort,Quicksort with Sorted Input,Randomized Quicksort with Sorted Imput,STL sort() function
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
100,0.000000,0.000000,0.000000,0.049940,0.000000,0.000000,0.050010,
1000,0.250010,0.100010,0.049995,0.750055,2.200165,1.950155,0.099995,
10000,3.000295,1.200095,1.150030,71.754700,270.771759,279.336548,1.499520,
