
n,Merge Sort,Quicksort,Randomized Quicksort,Insertion Sort,Quicksort with Sorted Input,Randomized Quicksort with Sorted Imput,STL sort() function
5,0.001705,0.000130,0.000160,0.000095,0.000190,0.000160,0.000230,
10,0.003830,0.000355,0.000455,0.000205,0.000625,0.000475,0.000525,
100,0.039700,0.005760,0.005710,0.014095,0.038960,0.022310,0.010385,
1000,0.351655,0.082120,0.071945,0.769110,2.492700,2.177840,0.127245,
10000,5.120415,6.508980,1.709645,134.061920,299.890198,280.946686,1.365855,
